Unnamed: 0,_id,Initial_Year,Initial_Month,Forecast_Year,Foreast_Month,Province_ID,Province_NameTH,Rainfall.mm.,ProvinceName
0,1,2023,1,2023,1,10,กรุงเทพมหานคร,18.8020932,Province_0
1,2,2023,1,2023,1,11,สมุทรปราการ,14.15289707,Province_12
2,3,2023,1,2023,1,12,นนทบุรี,19.02253284,Province_6
3,4,2023,1,2023,1,13,ปทุมธานี,15.55536278,Province_7
4,5,2023,1,2023,1,14,พระนครศรีอยุธยา,12.54678874,Province_9
5,6,2023,1,2023,1,15,อ่างทอง,17.12334163,Province_18
6,7,2023,1,2023,1,16,ลพบุรี,12.93856959,Province_11
7,8,2023,1,2023,1,17,สิงห์บุรี,11.78389048,Province_16
8,9,2023,1,2023,1,18,ชัยนาท,6.086061758,Province_3
9,10,2023,1,2023,1,19,สระบุรี,20.8451379,Province_15
14,15,2023,1,2023,1,24,ฉะเชิงเทรา,5.716058429,Province_2
16,17,2023,1,2023,1,26,นครนายก,13.22242745,Province_4
55,56,2023,1,2023,1,70,ราชบุรี,6.437758541,Province_10
57,58,2023,1,2023,1,72,สุพรรณบุรี,22.96932715,Province_17
58,59,2023,1,2023,1,73,นครปฐม,11.77419229,Province_5
59,60,2023,1,2023,1,74,สมุทรสาคร,13.78645919,Province_14
60,61,2023,1,2023,1,75,สมุทรสงคราม,5.890637674,Province_13
61,62,2023,1,2023,1,76,เพชรบุรี,9.481056836,Province_19
77,78,2023,1,2023,2,10,กรุงเทพมหานคร,7.221436206,Province_0
78,79,2023,1,2023,2,11,จ.สมุทรปราการ,6.642668365,Province_12
79,80,2023,1,2023,2,12,จ.นนทบุรี,7.32679174,Province_6
80,81,2023,1,2023,2,13,จ.ปทุมธานี,10.34393533,Province_7
81,82,2023,1,2023,2,14,จ.พระนครศรีอยุธยา,7.280295776,Province_9
82,83,2023,1,2023,2,15,จ.อ่างทอง,2.263453867,Province_18
83,84,2023,1,2023,2,16,จ.ลพบุรี,4.367899761,Province_11
84,85,2023,1,2023,2,17,จ.สิงห์บุรี,1.553227664,Province_16
85,86,2023,1,2023,2,18,จ.ชัยนาท,1.713415675,Province_3
86,87,2023,1,2023,2,19,จ.สระบุรี,3.557782697,Province_15
91,92,2023,1,2023,2,24,จ.ฉะเชิงเทรา,8.000106651,Province_2
93,94,2023,1,2023,2,26,จ.นครนายก,4.961149554,Province_4
132,133,2023,1,2023,2,70,จ.ราชบุรี,1.019125115,Province_10
134,135,2023,1,2023,2,72,จ.สุพรรณบุรี,1.654703286,Province_17
135,136,2023,1,2023,2,73,จ.นครปฐม,4.68929011,Province_5
136,137,2023,1,2023,2,74,จ.สมุทรสาคร,4.835366523,Province_14
137,138,2023,1,2023,2,75,จ.สมุทรสงคราม,1.328347824,Province_13
138,139,2023,1,2023,2,76,จ.เพชรบุรี,2.719379135,Province_19
154,155,2023,1,2023,3,10,กรุงเทพมหานคร,156.3168909,Province_0
155,156,2023,1,2023,3,11,จ.สมุทรปราการ,144.9018933,Province_12
156,157,2023,1,2023,3,12,จ.นนทบุรี,157.2669794,Province_6
157,158,2023,1,2023,3,13,จ.ปทุมธานี,166.8945664,Province_7
158,159,2023,1,2023,3,14,จ.พระนครศรีอยุธยา,157.3547513,Province_9
159,160,2023,1,2023,3,15,จ.อ่างทอง,122.6504862,Province_18
160,161,2023,1,2023,3,16,จ.ลพบุรี,77.1842078,Province_11
161,162,2023,1,2023,3,17,จ.สิงห์บุรี,90.87302588,Province_16
162,163,2023,1,2023,3,18,จ.ชัยนาท,64.3362423,Province_3
163,164,2023,1,2023,3,19,จ.สระบุรี,122.8983923,Province_15
168,169,2023,1,2023,3,24,จ.ฉะเชิงเทรา,123.322351,Province_2
170,171,2023,1,2023,3,26,จ.นครนายก,120.5584431,Province_4
209,210,2023,1,2023,3,70,จ.ราชบุรี,186.0932525,Province_10
211,212,2023,1,2023,3,72,จ.สุพรรณบุรี,110.5674013,Province_17
212,213,2023,1,2023,3,73,จ.นครปฐม,136.3675461,Province_5
213,214,2023,1,2023,3,74,จ.สมุทรสาคร,157.7162934,Province_14
214,215,2023,1,2023,3,75,จ.สมุทรสงคราม,196.1196523,Province_13
215,216,2023,1,2023,3,76,จ.เพชรบุรี,349.4985033,Province_19
231,232,2023,1,2023,4,10,กรุงเทพมหานคร,29.20181053,Province_0
232,233,2023,1,2023,4,11,จ.สมุทรปราการ,16.372338,Province_12
233,234,2023,1,2023,4,12,จ.นนทบุรี,35.15480297,Province_6
234,235,2023,1,2023,4,13,จ.ปทุมธานี,46.99973185,Province_7
235,236,2023,1,2023,4,14,จ.พระนครศรีอยุธยา,28.90693899,Province_9
236,237,2023,1,2023,4,15,จ.อ่างทอง,18.81645885,Province_18
237,238,2023,1,2023,4,16,จ.ลพบุรี,33.9353883,Province_11
238,239,2023,1,2023,4,17,จ.สิงห์บุรี,24.61547554,Province_16
239,240,2023,1,2023,4,18,จ.ชัยนาท,15.7435962,Province_3
240,241,2023,1,2023,4,19,จ.สระบุรี,50.21295644,Province_15
245,246,2023,1,2023,4,24,จ.ฉะเชิงเทรา,62.43158591,Province_2
247,248,2023,1,2023,4,26,จ.นครนายก,50.86223767,Province_4
286,287,2023,1,2023,4,70,จ.ราชบุรี,8.391087259,Province_10
288,289,2023,1,2023,4,72,จ.สุพรรณบุรี,7.187308629,Province_17
289,290,2023,1,2023,4,73,จ.นครปฐม,12.19684181,Province_5
290,291,2023,1,2023,4,74,จ.สมุทรสาคร,14.72088525,Province_14
291,292,2023,1,2023,4,75,จ.สมุทรสงคราม,10.60489856,Province_13
292,293,2023,1,2023,4,76,จ.เพชรบุรี,22.79715261,Province_19
308,309,2023,1,2023,5,10,กรุงเทพมหานคร,233.159259,Province_0
309,310,2023,1,2023,5,11,จ.สมุทรปราการ,239.2763409,Province_12
310,311,2023,1,2023,5,12,จ.นนทบุรี,209.5342213,Province_6
311,312,2023,1,2023,5,13,จ.ปทุมธานี,181.402784,Province_7
312,313,2023,1,2023,5,14,จ.พระนครศรีอยุธยา,181.7395491,Province_9
313,314,2023,1,2023,5,15,จ.อ่างทอง,183.8327057,Province_18
314,315,2023,1,2023,5,16,จ.ลพบุรี,207.1105268,Province_11
315,316,2023,1,2023,5,17,จ.สิงห์บุรี,199.3918299,Province_16
316,317,2023,1,2023,5,18,จ.ชัยนาท,202.4761328,Province_3
317,318,2023,1,2023,5,19,จ.สระบุรี,228.2932834,Province_15
322,323,2023,1,2023,5,24,จ.ฉะเชิงเทรา,223.814389,Province_2
