,_id,Initial_Year,Initial_Month,Forecast_Year,Foreast_Month,Province_ID,Province_NameTH,Rainfall.mm.,Province
0,1,2023,1,2023,1,10,กรุงเทพมหานคร,18.8020932,กรุงเทพมหานคร
1,2,2023,1,2023,1,11,สมุทรปราการ,14.15289707,สมุทรปราการ
2,3,2023,1,2023,1,12,นนทบุรี,19.02253284,นนทบุรี
3,4,2023,1,2023,1,13,ปทุมธานี,15.55536278,ปทุมธานี
4,5,2023,1,2023,1,14,พระนครศรีอยุธยา,12.54678874,พระนครศรีอยุธยา
5,6,2023,1,2023,1,15,อ่างทอง,17.12334163,อ่างทอง
6,7,2023,1,2023,1,16,ลพบุรี,12.93856959,ลพบุรี
7,8,2023,1,2023,1,17,สิงห์บุรี,11.78389048,สิงห์บุรี
8,9,2023,1,2023,1,18,ชัยนาท,6.086061758,ชัยนาท
9,10,2023,1,2023,1,19,สระบุรี,20.8451379,สระบุรี
14,15,2023,1,2023,1,24,ฉะเชิงเทรา,5.716058429,ฉะเชิงเทรา
16,17,2023,1,2023,1,26,นครนายก,13.22242745,นครนายก
55,56,2023,1,2023,1,70,ราชบุรี,6.437758541,ราชบุรี
57,58,2023,1,2023,1,72,สุพรรณบุรี,22.96932715,สุพรรณบุรี
58,59,2023,1,2023,1,73,นครปฐม,11.77419229,นครปฐม
59,60,2023,1,2023,1,74,สมุทรสาคร,13.78645919,สมุทรสาคร
60,61,2023,1,2023,1,75,สมุทรสงคราม,5.890637674,สมุทรสงคราม
61,62,2023,1,2023,1,76,เพชรบุรี,9.481056836,เพชรบุรี
77,78,2023,1,2023,2,10,กรุงเทพมหานคร,7.221436206,กรุงเทพมหานคร
78,79,2023,1,2023,2,11,จ.สมุทรปราการ,6.642668365,สมุทรปราการ
79,80,2023,1,2023,2,12,จ.นนทบุรี,7.32679174,นนทบุรี
80,81,2023,1,2023,2,13,จ.ปทุมธานี,10.34393533,ปทุมธานี
81,82,2023,1,2023,2,14,จ.พระนครศรีอยุธยา,7.280295776,พระนครศรีอยุธยา
82,83,2023,1,2023,2,15,จ.อ่างทอง,2.263453867,อ่างทอง
83,84,2023,1,2023,2,16,จ.ลพบุรี,4.367899761,ลพบุรี
84,85,2023,1,2023,2,17,จ.สิงห์บุรี,1.553227664,สิงห์บุรี
85,86,2023,1,2023,2,18,จ.ชัยนาท,1.713415675,ชัยนาท
86,87,2023,1,2023,2,19,จ.สระบุรี,3.557782697,สระบุรี
91,92,2023,1,2023,2,24,จ.ฉะเชิงเทรา,8.000106651,ฉะเชิงเทรา
93,94,2023,1,2023,2,26,จ.นครนายก,4.961149554,นครนายก
132,133,2023,1,2023,2,70,จ.ราชบุรี,1.019125115,ราชบุรี
134,135,2023,1,2023,2,72,จ.สุพรรณบุรี,1.654703286,สุพรรณบุรี
135,136,2023,1,2023,2,73,จ.นครปฐม,4.68929011,นครปฐม
136,137,2023,1,2023,2,74,จ.สมุทรสาคร,4.835366523,สมุทรสาคร
137,138,2023,1,2023,2,75,จ.สมุทรสงคราม,1.328347824,สมุทรสงคราม
138,139,2023,1,2023,2,76,จ.เพชรบุรี,2.719379135,เพชรบุรี
154,155,2023,1,2023,3,10,กรุงเทพมหานคร,156.3168909,กรุงเทพมหานคร
155,156,2023,1,2023,3,11,จ.สมุทรปราการ,144.9018933,สมุทรปราการ
156,157,2023,1,2023,3,12,จ.นนทบุรี,157.2669794,นนทบุรี
157,158,2023,1,2023,3,13,จ.ปทุมธานี,166.8945664,ปทุมธานี
158,159,2023,1,2023,3,14,จ.พระนครศรีอยุธยา,157.3547513,พระนครศรีอยุธยา
159,160,2023,1,2023,3,15,จ.อ่างทอง,122.6504862,อ่างทอง
160,161,2023,1,2023,3,16,จ.ลพบุรี,77.1842078,ลพบุรี
161,162,2023,1,2023,3,17,จ.สิงห์บุรี,90.87302588,สิงห์บุรี
