ชนิด,ชื่อ,อายุเก็บเกี่ยว,ผลผลิตต่อไร่,จุดเด่น,tmin,tmax,rain,tmin,tmax,rain
ข้าวเจ้า,กข 29,100,876,"- 
 อายุสั้น มีอายุวันเก็บเกี่ยว 99 วัน ในฤดูนาปรัง และ103 วันในฤดูนาปี เมื่อปลูกโดยวิธีหว่านน้ำตม
 
   - ค่อนข้างต้านทานต่อเพลี้ยกระโดดสีน้ำตาลในภาคเหนือตอนล่าง และโรคขอบใบแห้ง 
   - มีปริมาณธาตุเหล็กในข้าวกล้อง 15.7 มิลลิกรัม ต่อ 1 กิโลกรัม ในข้าวสาร 6.7 มิลลิกรัมต่อ 1 กิโลกรัม",,,,18.57594683,25.30112736,63.26947455
ข้าวเจ้า,กข 31,118,738,"-- 
 คุณภาพเมล็ดทางกายภาพสม่ำเสมอกว่าพันธุ์สุพรรณบุรี 1
 
   - ต้านทานต่อเพลี้ยกระโดดหลังขาว ค่อนข้างต้านทานต่อเพลี้ยกระโดดสีน้ำตาล โรคขอบใบแห้ง โรคใบจุดสีน้ำตาล และโรคเมล็ดด่าง
   - ทรงกอตั้ง ต้นแข็ง ไม่ล้มง่าย ผลผลิตสูงกว่าผลผลิตของพันธุ์สุพรรณบุรี 1 ประมาณ 5 เปอร์เซ็นต์",,,,18.01381688,28.33383358,76.16240267
ข้าวเจ้า,กข 41,105,722,"-
 
   ผลผลิตสูง มีเสถียรภาพดี ให้ผลผลิตเฉลี่ย 722 กก./ไร่ สูงกว่าสุพรรณบุรี 1 (645 กก./ไร่) และชัยนาท 1 (640 กก./ไร่) คิดเป็นร้อยละ 12 และ 13 ตามลำดับ แต่ไม่แตกต่างจากพิษณุโลก 2 (719 กก./ไร่)
   - ค่อนข้างต้านทานเพลี้ยกระโดดสีน้ำตาล และโรคไหม้ 
   -
   คุณภาพเมล็ดทางกายภาพดีเป็นข้าวเจ้าเมล็ดยาวเรียว ท้องไข่น้อย คุณภาพการสีดี สามารถสีเป็นข้าวสาร 100 เปอร์เซ็นต์ได้",,,,29.16309923,31.22212796,227.0007973
ข้าวเจ้า,กข 47,105,793,"- ผลผลิตสูง มีเสถียรภาพดี
   -
   ค่อนข้างต้านทานเพลี้ยกระโดดสีน้ำตาลดีกว่า กข41 และค่อนข้างต้านโรคไหม้ดีกว่าพิษณุโลก 2
   -
   คุณภาพเมล็ดทางกายภาพดีเป็นข้าวเจ้าเมล็ดยาวเรียว ท้องไข่น้อย คุณภาพการสีดีถึงดีมาก สามารถสีเป็นข้าวสาร 100 เปอร์เซ็นต์ได้",,,,28.89078375,30.79484792,273.5194022
ข้าวเจ้า,กข 49,105,733,- ผลผลิตสูง (ศักยภาพการให้ผลผลิตสูงถึง 939 กก./ไร่)สามารถผลิตเป็นข้าว 100 เปอร์เซ็นต์ ชั้น 1 ได้ค่อนข้างต้านทานเพลี้ยกระโดดสีน้ำตาลชีวชนิดใหม่ต้านทานโรคไหม้,,,,29.35006074,30.55187571,296.2188545
ข้าวเจ้า,กข 57,118,714,"- 
 ศักยภาพการให้ผลผลิตสูงถึง 1,169 กิโลกรัมต่อไร่ ที่ อ.เขาย้อย จ.เพชรบุรี",,,,17.18793606,26.57714175,65.92844762
ข้าวเจ้า,กข 61,90,"1,004","- ค่อนข้างต้านทานเพลี้ยกระโดดสีน้ำตาล และเพลี้ยกระโดดหลังขาว ในเขตจังหวัดพิษณุโลก และชัยนาท และต้านทานโรคไหม้ในเขตจังหวัดพิษณุโลก และชัยนาท
   - คุณภาพเมล็ดทางกายภาพดี เป็นข้าวเจ้าเมล็ดยาวเรียว ท้องไข่น้อย คุณภาพการสีดีมาก สามารถผลิตข้าวสาร 100 เปอร์เซ็นต์ ชั้น 1 ได้",,,,28.99579282,30.69091476,257.6157334
ข้าวเจ้า,กข 63,118,667,"- มีคุณสมบัติเหมาะสำหรับแปรรูปเป็นข้าวพองอบกรอบได้ดี
   - ลำต้นเตี้ย ต้นแข็ง มีขนาดเมล็ดปานกลาง
   - ค่อนข้างต้านทานต่อเพลี้ยกระโดดสีน้ำตาลกลุ่มแมลงจากจังหวัดพิษณุโลก",,,,27.30739681,30.98291181,259.2041931
ข้าวเจ้า,กข 71,95,818,"- อายุเก็บเกี่ยวสั้น 95 วัน
 - ผลผลิตสูง มีศักยภาพการให้ผลผลิตสูง
 - คุณภาพเมล็ดทางกายภาพดีเป็นข้าวเจ้าเมล็ดยาวเรียว ท้องไข่น้อย คุณภาพ",,,,28.90264588,31.84362585,257.2251906
ข้าวเจ้า,กข 81,108,630,"- ไม่ไวต่อช่วงแสง
 - เมล็ดขนาดปานกลาง
 - มีคุณสมบัติเหมาะสำหรับแปรรูปเป็นข้าวพองอบกรอบ",,,,25.59137213,34.10496615,222.3081633
