,_id,Month,GEOCODE,TAMBON_T,TAMBON_E,AMPHOE_CODE,AMPHOE_T,AMPHOE_E,PROV_CODE,PROV_T,PROV_E,COUNT 17 YEAR,CRITERIA,RISK,Province
0,1,1,120501,ต.ไทรน้อย,Sai Noi,1205,อ.ไทรน้อย,Sai Noi District,12,จ.นนทบุรี,Nonthaburi,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,นนทบุรี
1,2,1,120503,ต.หนองเพรางาย,Nong Phrao Ngai,1205,อ.ไทรน้อย,Sai Noi District,12,จ.นนทบุรี,Nonthaburi,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,นนทบุรี
2,3,1,120504,ต.ไทรใหญ่,Sai Yai,1205,อ.ไทรน้อย,Sai Noi District,12,จ.นนทบุรี,Nonthaburi,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,นนทบุรี
3,4,1,120505,ต.ขุนศรี,Khun Si,1205,อ.ไทรน้อย,Sai Noi District,12,จ.นนทบุรี,Nonthaburi,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,นนทบุรี
4,5,1,120507,ต.ทวีวัฒนา,Thawi Watthana,1205,อ.ไทรน้อย,Sai Noi District,12,จ.นนทบุรี,Nonthaburi,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,นนทบุรี
5,6,1,140110,ต.สวนพริก,Suan Phrik,1401,อ.พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
6,7,1,140507,ต.บ้านคลัง,Ban Khlang,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
7,8,1,140509,ต.น้ำเต้า,Namtao,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
8,9,1,140511,ต.วัดตะกู,Wat Taku,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
9,10,1,140512,ต.บางหลวง,Bang Luang,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
10,11,1,140513,ต.บางหลวงโดด,Bang Luang Dot,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
11,12,1,140514,ต.บางหัก,Bang Hak,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
12,13,1,140516,ต.บ้านกุ่ม,Ban Kum,1405,อ.บางบาล,Bang Ban District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
13,14,1,140712,ต.ขวัญเมือง,Khwan Mueang,1407,อ.บางปะหัน,Bang Pahan District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
14,15,1,140713,ต.บ้านลี่,Ban Li,1407,อ.บางปะหัน,Bang Pahan District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
15,16,1,140803,ต.บ้านแค,Ban Khae,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
16,17,1,140806,ต.ท่าดินแดง,Tha Din Daeng,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
17,18,1,140807,ต.ดอนลาน,Don Lan,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
18,19,1,140808,ต.นาคู,Na Khu,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
19,20,1,140809,ต.กุฎี,Kudi,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
20,21,1,140810,ต.ลำตะเคียน,Lam Takhian,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
21,22,1,140811,ต.โคกช้าง,Khok Chang,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
22,23,1,140813,ต.หนองน้ำใหญ่,Nong Nam Yai,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
23,24,1,140814,ต.ลาดชิด,Lat Chit,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
24,25,1,140815,ต.หน้าโคก,Na Khok,1408,อ.ผักไห่,Phak Hai District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
25,26,1,141001,ต.ลาดบัวหลวง,Lat Bua Luang,1410,อ.ลาดบัวหลวง,Lat Bua Luang District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
26,27,1,141002,ต.หลักชัย,Lak Chai,1410,อ.ลาดบัวหลวง,Lat Bua Luang District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
27,28,1,141203,ต.เจ้าเจ็ด,Chao Chet,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
28,29,1,141206,ต.หัวเวียง,Hua Wiang,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
29,30,1,141207,ต.มารวิชัย,Man Wichai,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
30,31,1,141208,ต.บ้านโพธิ์,Ban Pho,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
31,32,1,141209,ต.รางจรเข้,Rang Chorakhe,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
32,33,1,141210,ต.บ้านกระทุ่ม,Ban Krathum,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
33,34,1,141211,ต.บ้านแถว,Ban Thaeo,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
34,35,1,141212,ต.ชายนา,Chai Na,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
35,36,1,141214,ต.ลาดงา,Lat Nga,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
36,37,1,141215,ต.ดอนทอง,Don Thong,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
37,38,1,141217,ต.เจ้าเสด็จ,Chao Sadet,1412,อ.เสนา,Sena District,14,จ.พระนครศรีอยุธยา,Phra Nakhon Si Ayudhya,1,1-3 ครั้งในรอบ 17 ปี,เสี่ยงต่ำ,พระนครศรีอยุธยา
