,Year,Month,ProvinceID,ProvinceName,Tmax,Tmin
0,2018,1,10,กรุงเทพมหานคร,35.5,18
1,2018,1,11,สมุทรปราการ,36,18.4
2,2018,1,13,ปทุมธานี,35.6,18
3,2018,1,14,พระนครศรีอยุธยา,35.5,15.4
4,2018,1,16,ลพบุรี,36.2,14.7
5,2018,1,18,ชัยนาท,34.1,15.8
10,2018,1,24,ฉะเชิงเทรา,35.5,15
46,2018,1,70,ราชบุรี,35.1,16.3
47,2018,1,71,กาญจนบุรี,37,14
48,2018,1,72,สุพรรณบุรี,35.1,16.3
49,2018,1,73,นครปฐม,35,15.6
50,2018,1,76,เพชรบุรี,33.6,18.5
51,2018,1,77,ประจวบคีรีขันธ์,34.3,15.6
65,2018,2,10,กรุงเทพมหานคร,35.7,19.2
66,2018,2,11,สมุทรปราการ,33.8,18.8
67,2018,2,13,ปทุมธานี,37,18.5
68,2018,2,14,พระนครศรีอยุธยา,36.3,15.6
69,2018,2,16,ลพบุรี,37.2,15.2
70,2018,2,18,ชัยนาท,35,17.1
75,2018,2,24,ฉะเชิงเทรา,35.3,15.6
111,2018,2,70,ราชบุรี,36.3,17.7
112,2018,2,71,กาญจนบุรี,38,16.8
113,2018,2,72,สุพรรณบุรี,35.9,16.5
114,2018,2,73,นครปฐม,36,16.2
115,2018,2,76,เพชรบุรี,34.4,19.1
116,2018,2,77,ประจวบคีรีขันธ์,35.2,16.8
130,2018,3,10,กรุงเทพมหานคร,36,22.1
131,2018,3,11,สมุทรปราการ,33.2,24.6
132,2018,3,13,ปทุมธานี,38.3,21.5
133,2018,3,14,พระนครศรีอยุธยา,37,20
134,2018,3,16,ลพบุรี,38.5,18.5
135,2018,3,18,ชัยนาท,36.5,20.8
140,2018,3,24,ฉะเชิงเทรา,36,19.4
175,2018,3,70,ราชบุรี,37,20
176,2018,3,71,กาญจนบุรี,39.1,18.8
177,2018,3,72,สุพรรณบุรี,37.8,21.2
178,2018,3,73,นครปฐม,37,21
179,2018,3,76,เพชรบุรี,36.4,22.2
180,2018,3,77,ประจวบคีรีขันธ์,37.7,18.3
195,2018,4,10,กรุงเทพมหานคร,37.3,22.5
196,2018,4,11,สมุทรปราการ,33.3,24
197,2018,4,13,ปทุมธานี,39.5,21.5
198,2018,4,14,พระนครศรีอยุธยา,37.6,19.3
199,2018,4,16,ลพบุรี,38.7,19
200,2018,4,18,ชัยนาท,39,20.5
205,2018,4,24,ฉะเชิงเทรา,36.5,18.8
240,2018,4,70,ราชบุรี,38.5,21.4
241,2018,4,71,กาญจนบุรี,41.3,20
242,2018,4,72,สุพรรณบุรี,39.9,21.4
243,2018,4,73,นครปฐม,38.9,19.5
244,2018,4,76,เพชรบุรี,37.1,22.5
245,2018,4,77,ประจวบคีรีขันธ์,37.2,19.8
260,2018,5,10,กรุงเทพมหานคร,36.7,22.9
261,2018,5,11,สมุทรปราการ,33.4,25
262,2018,5,13,ปทุมธานี,37.7,24.2
263,2018,5,14,พระนครศรีอยุธยา,37.5,22.5
264,2018,5,16,ลพบุรี,37.4,23.2
265,2018,5,18,ชัยนาท,37.4,23.5
270,2018,5,24,ฉะเชิงเทรา,36.5,22.3
305,2018,5,70,ราชบุรี,36.6,24.2
306,2018,5,71,กาญจนบุรี,38.2,22.4
307,2018,5,72,สุพรรณบุรี,37.6,23.5
308,2018,5,73,นครปฐม,37,23.3
309,2018,5,76,เพชรบุรี,36.8,24.3
310,2018,5,77,ประจวบคีรีขันธ์,37,22.5
325,2018,6,10,กรุงเทพมหานคร,37.3,24.2
326,2018,6,11,สมุทรปราการ,33.1,25
327,2018,6,13,ปทุมธานี,38.2,24.4
328,2018,6,14,พระนครศรีอยุธยา,36.5,22
329,2018,6,16,ลพบุรี,36.4,24.3
330,2018,6,18,ชัยนาท,36,24
335,2018,6,24,ฉะเชิงเทรา,34.3,23.4
370,2018,6,70,ราชบุรี,35.1,23.8
371,2018,6,71,กาญจนบุรี,36.9,23.2
372,2018,6,72,สุพรรณบุรี,37.2,24
373,2018,6,73,นครปฐม,35.8,24.2
374,2018,6,76,เพชรบุรี,36.6,24.8
375,2018,6,77,ประจวบคีรีขันธ์,37,22.4
390,2018,7,10,กรุงเทพมหานคร,35.5,24.4
391,2018,7,11,สมุทรปราการ,32,26
392,2018,7,13,ปทุมธานี,36.3,24.5
393,2018,7,14,พระนครศรีอยุธยา,35,22.5
394,2018,7,16,ลพบุรี,36,22.8
395,2018,7,18,ชัยนาท,36,23.8
400,2018,7,24,ฉะเชิงเทรา,34.7,23
435,2018,7,70,ราชบุรี,35.4,24
436,2018,7,71,กาญจนบุรี,35.5,23.1
437,2018,7,72,สุพรรณบุรี,35.7,24
438,2018,7,73,นครปฐม,36.6,24
439,2018,7,76,เพชรบุรี,36.9,24.5
440,2018,7,77,ประจวบคีรีขันธ์,36.9,22.7
455,2018,8,10,กรุงเทพมหานคร,34.1,23.9
456,2018,8,11,สมุทรปราการ,31,26.3
457,2018,8,13,ปทุมธานี,36.8,24
458,2018,8,14,พระนครศรีอยุธยา,34.7,22
459,2018,8,16,ลพบุรี,35.1,23.2
460,2018,8,18,ชัยนาท,36,24
465,2018,8,24,ฉะเชิงเทรา,33.6,23.2
500,2018,8,70,ราชบุรี,35.2,23.9
501,2018,8,71,กาญจนบุรี,36.8,21.6
502,2018,8,72,สุพรรณบุรี,36.5,23.8
503,2018,8,73,นครปฐม,35.8,23.5
504,2018,8,76,เพชรบุรี,35.8,24.5
505,2018,8,77,ประจวบคีรีขันธ์,36.1,22.2
520,2018,9,10,กรุงเทพมหานคร,36,23
521,2018,9,11,สมุทรปราการ,32.7,23.1
522,2018,9,13,ปทุมธานี,38,23.6
523,2018,9,14,พระนครศรีอยุธยา,36.1,22.5
524,2018,9,16,ลพบุรี,36,23.2
